iter	Passed	Remaining
0	136	136354
1	137	68643
2	138	46118
3	140	35025
4	142	28424
5	144	24013
6	147	20923
7	150	18622
8	152	16792
9	154	15339
10	156	14110
11	159	13135
12	165	12579
13	169	11943
14	173	11412
15	176	10844
16	179	10378
17	182	9962
18	184	9523
19	187	9193
20	190	8899
21	194	8632
22	197	8393
23	201	8183
24	204	7983
25	207	7772
26	210	7589
27	214	7435
28	216	7255
29	218	7079
30	221	6924
31	224	6778
32	226	6647
33	229	6533
34	232	6398
35	233	6265
36	236	6144
37	238	6030
38	239	5912
39	241	5804
40	244	5720
41	247	5634
42	248	5538
43	250	5447
44	251	5347
45	253	5251
46	254	5160
47	255	5071
48	256	4987
49	258	4904
50	259	4821
51	260	4744
52	261	4668
53	262	4593
54	262	4518
55	263	4448
56	264	4377
57	265	4311
58	266	4248
59	267	4194
60	269	4142
61	269	4081
62	271	4031
63	272	3984
64	273	3939
65	275	3894
66	276	3850
67	277	3798
68	278	3751
69	279	3709
70	279	3663
71	280	3620
72	281	3578
73	282	3535
74	283	3493
75	284	3454
76	284	3415
77	285	3377
78	286	3340
79	287	3303
80	288	3268
81	289	3241
82	290	3207
83	291	3179
84	292	3144
85	292	3113
86	293	3080
87	294	3051
88	295	3023
89	296	2994
90	296	2966
91	297	2938
92	298	2913
93	299	2888
94	300	2864
95	301	2839
96	302	2814
97	303	2790
98	304	2767
99	305	2747
100	306	2724
101	306	2699
102	307	2678
103	308	2659
104	309	2638
105	310	2617
106	311	2597
107	312	2577
108	312	2558
109	314	2542
110	315	2523
111	316	2507
112	317	2491
113	318	2474
114	319	2459
115	320	2440
116	321	2424
117	322	2408
118	322	2390
119	323	2374
120	324	2358
121	325	2342
122	325	2323
123	326	2307
124	327	2292
125	328	2280
126	329	2266
127	330	2250
128	331	2235
129	331	2221
130	332	2208
131	333	2194
132	334	2180
133	335	2166
134	335	2152
135	336	2139
136	337	2125
137	338	2111
138	338	2099
139	339	2087
140	340	2075
141	341	2063
142	342	2051
143	343	2040
144	344	2029
145	345	2018
146	345	2006
147	346	1995
148	347	1984
149	348	1973
150	349	1962
151	349	1952
152	350	1941
153	351	1930
154	352	1919
155	352	1909
156	353	1899
157	354	1889
158	355	1878
159	356	1869
160	356	1860
161	357	1850
162	358	1841
163	359	1831
164	360	1822
165	361	1814
166	362	1805
167	362	1797
168	363	1788
169	364	1779
170	365	1770
171	366	1762
172	366	1753
173	367	1745
174	368	1736
175	369	1728
176	369	1719
177	370	1711
178	371	1703
179	372	1695
180	372	1686
181	373	1678
182	374	1670
183	375	1663
184	375	1655
185	376	1648
186	377	1641
187	380	1641
188	380	1634
189	381	1627
190	382	1620
191	383	1613
192	384	1606
193	385	1599
194	385	1593
195	387	1587
196	387	1581
197	388	1575
198	389	1568
199	390	1562
200	391	1556
201	392	1549
202	393	1543
203	393	1537
204	394	1531
205	395	1525
206	396	1519
207	397	1513
208	398	1507
209	399	1501
210	400	1496
211	401	1491
212	402	1485
213	403	1480
214	404	1475
215	405	1470
216	405	1464
217	406	1458
218	407	1452
219	408	1446
220	408	1441
221	409	1436
222	410	1430
223	411	1424
224	412	1419
225	412	1413
226	413	1408
227	414	1403
228	415	1399
229	416	1394
230	417	1389
231	418	1385
232	419	1379
233	419	1374
234	420	1368
235	421	1363
236	422	1359
237	423	1355
238	424	1350
239	424	1345
240	425	1341
241	426	1336
242	427	1332
243	429	1329
244	430	1325
245	430	1321
246	431	1316
247	432	1312
248	433	1308
249	436	1309
250	437	1305
251	438	1301
252	439	1297
253	440	1292
254	441	1288
255	442	1284
256	443	1280
